Measure-Key,Measure-Name,Input-networks,Input-nodesets,Input-parameters,
sequentialEdgeCount-2,sequentialEdgeCount,Semantic Network,,,
sharedSituationAwareness-1,sharedSituationAwareness,Semantic Network,,,
simmelianTies-2,simmelianTies,Meta-Node grouping 1,,,
simmelianTies-1,simmelianTies,Semantic Network,,,
skipEdgeCount-1,skipEdgeCount,Meta-Node grouping 1,,,
skipEdgeCount-2,skipEdgeCount,Semantic Network,,,
spanOfControl-1,spanOfControl,Meta-Node grouping 1,,,
spanOfControl-2,spanOfControl,Semantic Network,,,
strongComponentCount-1,strongComponentCount,Meta-Node grouping 1,,,
strongComponentCount-2,strongComponentCount,Semantic Network,,,
structuralHolesConstraint-2,structuralHolesConstraint,Meta-Node grouping 1,,,
structuralHolesConstraint-1,structuralHolesConstraint,Semantic Network,,,
structuralHolesEffectiveNetworkSize-2,structuralHolesEffectiveNetworkSize,Meta-Node grouping 1,,,
structuralHolesEffectiveNetworkSize-1,structuralHolesEffectiveNetworkSize,Semantic Network,,,
structuralHolesEfficiency-2,structuralHolesEfficiency,Meta-Node grouping 1,,,
structuralHolesEfficiency-1,structuralHolesEfficiency,Semantic Network,,,
totalDegreeCentrality-2,totalDegreeCentrality,Meta-Node grouping 1,,,
totalDegreeCentrality-1,totalDegreeCentrality,Semantic Network,,,
totalDegreeCentralization-1,totalDegreeCentralization,Meta-Node grouping 1,,,
totalDegreeCentralization-2,totalDegreeCentralization,Semantic Network,,,
transitivity-1,transitivity,Meta-Node grouping 1,,,
transitivity-2,transitivity,Semantic Network,,,
triadCount-2,triadCount,Meta-Node grouping 1,,,
triadCount-1,triadCount,Semantic Network,,,
uniDirectionalEdgeCount-1,uniDirectionalEdgeCount,Meta-Node grouping 1,,,
uniDirectionalEdgeCount-2,uniDirectionalEdgeCount,Semantic Network,,,
upperBoundedness-1,upperBoundedness,Meta-Node grouping 1,,,
upperBoundedness-2,upperBoundedness,Semantic Network,,,
weakBoundarySpanner-2,weakBoundarySpanner,Meta-Node grouping 1,,,
weakBoundarySpanner-1,weakBoundarySpanner,Semantic Network,,,
weakComponentCount-1,weakComponentCount,Meta-Node grouping 1,,,
weakComponentCount-2,weakComponentCount,Semantic Network,,,
weakComponentMembers-2,weakComponentMembers,Meta-Node grouping 1,,,
weakComponentMembers-1,weakComponentMembers,Semantic Network,,,
weightedDensity-1,weightedDensity,Concept X Meta-Node 1,,,
weightedDensity-2,weightedDensity,Meta-Node grouping 1,,,
weightedDensity-3,weightedDensity,Semantic Network,,,
